"","Date","US.Institutional","X","US.Individual"
"","Index Value","Standard Error","Index Value","Standard Error"
"10/2024","67.57","5.44","69.17","4.22"
"09/2024","66.23","5.39","71.65","4.00"
"08/2024","67.53","5.34","72.22","3.99"
"07/2024","70.73","5.02","73.68","3.82"
"06/2024","80.00","5.16","74.76","4.28"
"05/2024","81.82","5.20","78.00","4.14"
"04/2024","87.04","4.57","80.20","3.97"
"03/2024","86.05","5.28","80.58","3.90"
"02/2024","82.69","5.25","81.44","3.95"
"01/2024","75.93","5.82","81.40","4.20"
"12/2023","72.88","5.79","79.80","4.04"
"11/2023","71.93","5.95","80.00","4.22"
"10/2023","75.38","5.34","69.52","4.49"
"09/2023","70.59","4.94","64.06","4.24"
"08/2023","65.52","5.10","62.58","3.89"
"07/2023","70.10","4.65","60.32","3.56"
"06/2023","72.04","4.65","60.53","3.55"
"05/2023","70.10","4.65","58.16","3.52"
"04/2023","66.30","4.93","61.02","3.67"
"03/2023","69.33","5.32","60.00","4.14"
"02/2023","73.13","5.42","62.40","4.33"
"01/2023","63.89","5.66","66.67","4.54"
"12/2022","63.10","5.27","65.85","4.28"
"11/2022","67.44","5.05","65.32","4.27"
"10/2022","71.28","4.67","61.72","4.30"
"09/2022","71.59","4.81","64.62","4.19"
"08/2022","71.74","4.69","64.39","4.17"
"07/2022","76.92","4.77","59.83","4.53"
"06/2022","75.64","4.86","58.93","4.65"
"05/2022","74.29","5.22","65.35","4.22"
"04/2022","69.70","5.66","68.50","4.12"
"03/2022","70.77","5.64","69.53","4.07"
"02/2022","69.86","5.37","67.16","4.06"
"01/2022","66.20","5.61","68.15","4.01"
"12/2021","65.15","5.87","65.41","4.12"
"11/2021","63.29","5.42","59.26","4.73"
"10/2021","64.20","5.33","60.16","4.41"
"09/2021","64.58","4.88","62.07","4.03"
"08/2021","65.69","4.70","64.79","4.01"
"07/2021","66.67","4.60","65.71","4.01"
"06/2021","68.87","4.50","70.00","3.87"
"05/2021","69.15","4.76","73.38","3.75"
"04/2021","67.42","4.97","76.19","3.79"
"03/2021","65.48","5.19","77.68","3.93"
"02/2021","62.12","5.97","75.00","4.09"
"01/2021","61.90","6.12","73.17","4.00"
"12/2020","61.54","6.03","69.17","4.22"
"11/2020","62.86","5.78","70.68","3.95"
"10/2020","67.61","5.55","70.71","3.85"
"09/2020","69.86","5.37","70.07","3.78"
"08/2020","72.86","5.32","73.05","3.74"
"07/2020","80.95","4.28","73.61","3.67"
"06/2020","79.59","4.07","75.89","3.60"
"05/2020","81.90","3.76","74.05","3.83"
"04/2020","80.99","3.57","75.00","3.71"
"03/2020","81.42","3.66","70.94","4.20"
"02/2020","79.34","3.68","65.00","4.35"
"01/2020","72.17","4.18","64.35","4.47"
"12/2019","72.22","4.31","62.16","4.60"
"11/2019","70.09","4.43","63.96","4.56"
"10/2019","66.33","4.77","59.79","4.98"
"09/2019","68.00","4.66","63.72","4.52"
"08/2019","69.52","4.49","70.08","4.06"
"07/2019","72.00","4.49","68.22","4.10"
"06/2019","75.59","3.81","72.62","3.44"
"05/2019","73.44","3.90","69.35","3.38"
"04/2019","75.61","3.87","68.37","3.32"
"03/2019","74.63","3.76","67.34","3.32"
"02/2019","75.00","3.95","65.27","3.68"
"01/2019","74.80","3.85","68.15","3.72"
"12/2018","70.10","4.65","64.23","4.32"
"11/2018","77.00","4.21","66.96","4.39"
"10/2018","79.25","3.94","71.03","4.39"
"09/2018","75.61","3.87","72.73","4.05"
"08/2018","72.73","3.72","69.18","3.66"
"07/2018","72.31","3.92","63.43","3.64"
"06/2018","72.67","3.64","68.09","3.40"
"05/2018","68.42","3.77","66.67","3.40"
"04/2018","63.23","3.87","64.10","3.44"
"03/2018","62.81","4.39","63.19","3.78"
"02/2018","65.52","4.41","66.00","3.87"
"01/2018","65.89","4.17","71.13","3.80"
"12/2017","65.14","4.56","61.27","4.09"
"11/2017","69.92","4.14","60.61","4.25"
"10/2017","71.32","3.88","64.12","4.19"
"09/2017","74.17","3.56","63.76","3.94"
"08/2017","72.85","3.62","59.75","3.89"
"07/2017","74.40","3.37","60.12","3.72"
"06/2017","77.37","3.04","62.50","3.83"
"05/2017","76.16","3.25","61.31","3.76"
"04/2017","79.61","3.27","60.69","3.71"
"03/2017","76.97","3.41","61.54","3.74"
"02/2017","75.33","3.52","64.43","3.92"
"01/2017","74.02","3.89","62.79","4.26"
"12/2016","68.13","4.88","64.71","4.38"
"11/2016","70.71","4.57","65.49","3.99"
"10/2016","70.37","4.39","66.67","3.97"
"09/2016","69.16","4.46","66.45","3.83"
"08/2016","74.55","4.15","67.30","3.72"
"07/2016","76.42","3.83","69.40","3.41"
"06/2016","75.00","3.34","68.22","3.18"
"05/2016","75.16","3.49","71.18","3.47"
"04/2016","74.32","3.59","69.75","3.61"
"03/2016","76.47","3.64","69.12","3.96"
"02/2016","74.82","3.68","67.86","3.95"
"01/2016","73.81","3.92","67.15","4.01"
"12/2015","73.21","4.18","70.69","4.23"
"11/2015","71.54","4.07","72.03","3.75"
"10/2015","73.65","3.62","74.23","3.43"
"09/2015","72.30","3.68","76.05","3.30"
"08/2015","72.29","3.47","75.29","3.27"
"07/2015","72.00","3.39","77.47","3.10"
"06/2015","72.79","3.67","75.44","3.29"
"05/2015","73.42","3.51","75.14","3.25"
"04/2015","68.84","3.94","72.63","3.33"
"03/2015","69.85","3.94","71.51","3.44"
"02/2015","72.48","4.28","71.01","3.49"
"01/2015","70.18","4.28","68.35","3.95"
"12/2014","69.12","3.96","67.31","3.76"
"11/2014","71.43","4.02","63.40","3.89"
"10/2014","77.87","3.76","61.48","4.19"
"09/2014","82.17","3.06","64.97","3.81"
"08/2014","81.87","2.86","70.49","3.37"
"07/2014","85.99","2.77","71.18","3.47"
"06/2014","90.32","2.37","71.35","3.32"
"05/2014","88.96","2.53","74.57","3.31"
"04/2014","87.50","2.61","75.69","3.19"
"03/2014","81.76","3.17","74.33","3.19"
"02/2014","77.17","3.72","69.18","3.66"
"01/2014","75.17","3.59","68.68","3.44"
"12/2013","77.91","3.25","73.45","3.32"
"11/2013","77.42","3.36","74.50","3.08"
"10/2013","76.43","3.39","72.68","3.11"
"09/2013","78.01","3.49","72.16","3.38"
"08/2013","79.71","3.42","75.58","3.28"
"07/2013","79.26","3.49","76.80","3.14"
"06/2013","76.42","3.83","71.51","3.37"
"05/2013","77.14","3.55","68.67","3.60"
"04/2013","75.37","3.72","71.79","3.60"
"03/2013","74.03","3.53","71.02","3.42"
"02/2013","74.19","3.51","70.95","3.39"
"01/2013","77.11","3.26","70.59","3.49"
"12/2012","75.00","3.38","75.15","3.36"
"11/2012","76.22","3.32","76.82","3.43"
"10/2012","79.44","3.01","78.29","3.34"
"09/2012","82.26","2.80","79.88","3.13"
"08/2012","82.38","2.74","78.53","3.09"
"07/2012","81.82","2.67","79.68","2.94"
"06/2012","83.26","2.55","79.71","2.80"
"05/2012","82.72","2.43","78.82","2.56"
"04/2012","81.55","2.70","78.72","2.67"
"03/2012","79.80","2.85","78.60","2.63"
"02/2012","78.97","2.79","77.54","2.72"
"01/2012","80.09","2.75","75.66","2.85"
"12/2011","77.20","3.02","73.60","3.14"
"11/2011","76.79","3.26","75.90","3.32"
"10/2011","76.84","3.17","75.45","3.33"
"09/2011","77.89","3.01","73.17","3.46"
"08/2011","80.89","2.62","74.59","3.24"
"07/2011","80.57","2.35","78.40","2.60"
"06/2011","81.75","2.38","79.13","2.68"
"05/2011","81.62","2.53","77.27","2.98"
"04/2011","82.88","2.35","76.11","2.84"
"03/2011","81.43","2.32","79.08","2.63"
"02/2011","80.58","2.76","80.95","2.86"
"01/2011","78.47","3.43","78.52","3.53"
"12/2010","77.50","3.30","77.46","3.18"
"11/2010","76.47","3.25","76.00","3.02"
"10/2010","72.86","3.76","77.53","3.13"
"09/2010","73.68","4.52","76.77","3.39"
"08/2010","75.00","3.95","76.57","3.20"
"07/2010","75.44","4.03","76.22","3.32"
"06/2010","76.67","3.86","77.84","3.21"
"05/2010","76.92","3.70","78.79","3.18"
"04/2010","77.92","3.34","76.63","3.12"
"03/2010","77.36","3.32","76.59","2.96"
"02/2010","77.09","3.14","77.58","2.79"
"01/2010","75.00","3.30","79.13","2.68"
"12/2009","75.14","3.18","79.05","2.81"
